Category,AP,DefValue
S17-2,"Parameter Attribute of (17,2) Report","Report (17,2) carries no parameters"
S17-2,"Enable Check Operation of (17,2) Report","Reports (17,2) are always enabled"
S17-2,"Ready Check Operation of (17,2) Report","Reports (17,2) are always ready"
S17-2,"Repeat Check Operation of (17,2) Report","Report (17,2) are never repeated"
S17-2,"Update Action of (17,2) Report",No action
S17-3,"Ready Check of (17,3) Command",Return “command is ready'
S17-3,"Start Action of (17,3) Command",Run the procedure Start Action of OnBoardConnectCmd Command of figure \ref{fig:Cmd17s3Start}
S17-3,"Progress Action of (17,3) Command",Run the procedure Start Action of OnBoardConnectCmd Command of figure \ref{fig:Cmd17s3Prgr}
S17-3,"Termination Action of (17,3) Command",Set action outcome to 'success'
S17-3,"Abort Action of (17,3) Command",Do nothing
S17-3,"Operation to Report Progress Successful for (17,3) Command",Do nothing
S17-3,"Discriminant Attribute of (17,3) Command","Command (17,3) has no discriminant"
S17-3,"Parameter Attributes of (17,3) Command","Command (17,3) carries one parameter representing the destination to which the (17,1) command must be sent"
S17-4,"Destination Attribute of (17,4) Report","The destination is set to be equal to the source of the (17,3) command which triggers the (17,4)"
S17-4,"Discriminant Attribute of (17,4) Report","No discriminant attribute is defined for reports (17,4)"
S17-4,"Parameter Attribute of (17,2) Report","Report (17,4) carries no parameters"
S17-4,"Enable Check Operation of (17,2) Report","Report (17,4) is always enabled"
S17-4,"Ready Check Operation of (17,2) Report","Report (17,4) is always ready"
S17-4,"Repeat Check Operation of (17,2) Report","Report (17,4) is never repeated"
S17-4,"Update Action of (17,2) Report",No action
